Team A,Team B,FG% Diff,RPG Diff,Win-Loss Ratio Diff,PPG Diff
Atlanta Hawks,Boston Celtics,0.01050000000000001,-0.8170731707317103,-0.25609756097560976,1.9146341463414558
Atlanta Hawks,Brooklyn Nets,0.03540243902439022,3.1951219512195124,0.17073170731707316,13.073170731707322
Atlanta Hawks,Charlotte Hornets,0.042670731707317,-0.6951219512195124,0.25609756097560976,13.08536585365853
Atlanta Hawks,Chicago Bulls,0.0030365853658534947,-1.3536585365853568,0.012195121951219523,0.3780487804878021
Atlanta Hawks,Cleveland Cavaliers,-0.017829268292682998,-0.9024390243902474,-0.29268292682926833,-3.756097560975604
Atlanta Hawks,Dallas Mavericks,-0.006195121951219573,1.4512195121951166,0.012195121951219523,3.9878048780487916
Atlanta Hawks,Denver Nuggets,-0.03367073170731727,-1.2439024390243887,-0.12195121951219512,-2.5731707317073074
Atlanta Hawks,Detroit Pistons,-0.003512195121951278,-0.2560975609756113,-0.04878048780487809,2.682926829268297
Atlanta Hawks,Golden State Warriors,0.022036585365853623,-0.8780487804878021,-0.09756097560975607,4.3902439024390105
Atlanta Hawks,Houston Rockets,0.018499999999999905,-3.963414634146339,-0.14634146341463417,3.8902439024390105
Atlanta Hawks,Indiana Pacers,-0.014792682926829392,2.670731707317074,-0.12195121951219512,0.8170731707317174
Atlanta Hawks,Los Angeles Clippers,-0.00947560975609757,0.7073170731707279,-0.12195121951219512,5.304878048780495
Atlanta Hawks,Los Angeles Lakers,-0.006048780487804883,2.0731707317073145,-0.12195121951219512,4.792682926829272
Atlanta Hawks,Memphis Grizzlies,-0.006121951219512256,-2.7560975609756113,-0.09756097560975607,-3.524390243902417
Atlanta Hawks,Miami Heat,0.007743902439024231,1.1097560975609682,0.036585365853658514,7.58536585365853
Atlanta Hawks,Milwaukee Bucks,-0.014987804878048905,1.1341463414634134,-0.09756097560975607,2.670731707317074
Atlanta Hawks,Minnesota Timberwolves,0.003707317073170624,0.18292682926828974,-0.1097560975609756,3.8902439024390105
Atlanta Hawks,New Orleans Pelicans,0.021158536585365817,0.8902439024390247,0.23170731707317072,8.353658536585371
Atlanta Hawks,New York Knicks,-0.01304878048780489,1.8536585365853568,-0.13414634146341464,2.4024390243902616
Atlanta Hawks,Oklahoma City Thunder,-0.008451219512195074,-0.2804878048780495,-0.3414634146341463,-2.317073170731703
Atlanta Hawks,Orlando Magic,0.027792682926829237,2.6585365853658516,-0.012195121951219523,12.756097560975618
Atlanta Hawks,Philadelphia 76ers,0.01874390243902424,4.707317073170728,0.1951219512195122,8.573170731707322
Atlanta Hawks,Phoenix Suns,-0.005085365853658597,2.0121951219512226,0.04878048780487804,4.560975609756099
Atlanta Hawks,Portland Trail Blazers,0.02193902439024381,-0.26829268292682684,0.04878048780487804,7.292682926829272
Atlanta Hawks,Sacramento Kings,-0.005439024390244074,0.30487804878048763,0.0,2.451219512195138
Atlanta Hawks,San Antonio Spurs,0.007499999999999896,0.8292682926829258,0.07317073170731708,4.256097560975618
Atlanta Hawks,Toronto Raptors,0.013926829268292695,-0.6219512195121979,0.12195121951219512,7.317073170731717
Atlanta Hawks,Utah Jazz,0.01747560975609752,-0.9146341463414629,0.2804878048780488,6.292682926829272
Atlanta Hawks,Washington Wizards,0.03451219512195114,0.8048780487804876,0.2682926829268293,10.182926829268297
Boston Celtics,Brooklyn Nets,0.02490243902439021,4.012195121951223,0.4268292682926829,11.158536585365866
Boston Celtics,Charlotte Hornets,0.03217073170731699,0.1219512195121979,0.5121951219512195,11.170731707317074
Boston Celtics,Chicago Bulls,-0.007463414634146515,-0.5365853658536466,0.2682926829268293,-1.5365853658536537
Boston Celtics,Cleveland Cavaliers,-0.028329268292683008,-0.0853658536585371,-0.03658536585365857,-5.67073170731706
Boston Celtics,Dallas Mavericks,-0.016695121951219583,2.268292682926827,0.2682926829268293,2.073170731707336
Boston Celtics,Denver Nuggets,-0.04417073170731728,-0.4268292682926784,0.13414634146341464,-4.487804878048763
Boston Celtics,Detroit Pistons,-0.014012195121951287,0.560975609756099,0.20731707317073167,0.768292682926841
Boston Celtics,Golden State Warriors,0.011536585365853613,-0.06097560975609184,0.1585365853658537,2.4756097560975547
Boston Celtics,Houston Rockets,0.007999999999999896,-3.146341463414629,0.1097560975609756,1.9756097560975547
Boston Celtics,Indiana Pacers,-0.025292682926829402,3.4878048780487845,0.13414634146341464,-1.0975609756097384
Boston Celtics,Los Angeles Clippers,-0.01997560975609758,1.5243902439024382,0.13414634146341464,3.390243902439039
Boston Celtics,Los Angeles Lakers,-0.016548780487804893,2.8902439024390247,0.13414634146341464,2.8780487804878163
Boston Celtics,Memphis Grizzlies,-0.016621951219512265,-1.939024390243901,0.1585365853658537,-5.439024390243873
Boston Celtics,Miami Heat,-0.0027560975609757787,1.9268292682926784,0.2926829268292683,5.670731707317074
Boston Celtics,Milwaukee Bucks,-0.025487804878048914,1.9512195121951237,0.1585365853658537,0.7560975609756184
Boston Celtics,Minnesota Timberwolves,-0.006792682926829385,1.0,0.14634146341463417,1.9756097560975547
Boston Celtics,New Orleans Pelicans,0.010658536585365808,1.707317073170735,0.4878048780487805,6.439024390243915
Boston Celtics,New York Knicks,-0.0235487804878049,2.670731707317067,0.12195121951219512,0.4878048780488058
Boston Celtics,Oklahoma City Thunder,-0.018951219512195083,0.5365853658536608,-0.08536585365853655,-4.231707317073159
Boston Celtics,Orlando Magic,0.017292682926829228,3.475609756097562,0.24390243902439024,10.841463414634163
