Rk,Gtm,Date,,Opp_team,Rslt,Tm_PTS,Opp_PTS,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_eFG%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF
50,50,2025-02-01,@,UTA,L,99,113,,30,91,.330,9,41,.220,21,50,.420,.379,30,35,.857,11,32,43,19,9,7,8,23,39,84,.464,14,35,.400,25,49,.510,.548,21,24,.875,8,43,51,26,5,7,16,27
51,51,2025-02-03,@,GSW,L,99,104,,43,99,.434,8,32,.250,35,67,.522,.475,5,10,.500,18,34,52,23,8,2,12,26,34,78,.436,12,39,.308,22,39,.564,.513,24,34,.706,9,35,44,25,9,0,13,16
52,52,2025-02-05,@,SAC,W,130,111,,50,88,.568,16,31,.516,34,57,.596,.659,14,15,.933,9,26,35,30,8,3,11,24,40,80,.500,10,27,.370,30,53,.566,.563,21,28,.750,14,23,37,23,6,4,19,14
53,53,2025-02-06,@,DEN,L,90,112,,31,84,.369,5,31,.161,26,53,.491,.399,23,30,.767,13,27,40,21,10,8,14,15,44,83,.530,12,30,.400,32,53,.604,.602,12,21,.571,12,40,52,33,7,4,20,22
54,54,2025-02-08,,SAS,W,112,111,,45,88,.511,10,30,.333,35,58,.603,.568,12,20,.600,13,32,45,19,10,1,15,18,41,77,.532,13,30,.433,28,47,.596,.617,16,20,.800,4,30,34,27,10,7,14,14
55,55,2025-02-10,,ATL,L,106,112,,37,78,.474,12,30,.400,25,48,.521,.551,20,24,.833,7,29,36,22,10,8,18,21,38,77,.494,12,32,.375,26,45,.578,.571,24,28,.857,6,33,39,29,10,3,17,17
56,56,2025-02-12,,CHO,W,102,86,,37,90,.411,14,43,.326,23,47,.489,.489,14,19,.737,13,39,52,22,4,9,11,12,32,81,.395,8,26,.308,24,55,.436,.444,14,15,.933,6,37,43,21,4,4,12,15
57,57,2025-02-20,@,ATL,W,114,108,,41,85,.482,6,25,.240,35,60,.583,.518,26,38,.684,11,42,53,15,6,7,8,22,39,100,.390,11,35,.314,28,65,.431,.445,19,28,.679,16,35,51,20,7,4,9,25
58,58,2025-02-21,,MEM,L,104,105,,36,88,.409,9,31,.290,27,57,.474,.460,23,33,.697,13,37,50,23,7,9,14,21,38,92,.413,7,33,.212,31,59,.525,.451,22,29,.759,15,38,53,22,7,7,15,26
59,59,2025-02-23,,WAS,W,110,90,,40,90,.444,11,32,.344,29,58,.500,.506,19,22,.864,14,33,47,25,9,5,16,23,32,78,.410,10,38,.263,22,40,.550,.474,16,22,.727,4,32,36,22,5,4,20,23
