Rk,Gtm,Date,,Opp_team,Rslt,Tm_PTS,Opp_PTS,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_eFG%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF
11,11,2024-11-11,@,SAS,L,96,116,,39,91,.429,10,38,.263,29,53,.547,.484,8,9,.889,9,28,37,18,11,4,11,14,43,85,.506,22,46,.478,21,39,.538,.635,8,8,1.000,8,36,44,31,5,5,18,10
12,12,2024-11-13,,PHO,W,127,104,,50,78,.641,15,28,.536,35,50,.700,.737,12,17,.706,6,39,45,38,7,8,17,20,36,97,.371,13,43,.302,23,54,.426,.438,19,26,.731,19,21,40,23,12,2,10,12
13,13,2024-11-15,,MIN,L,126,130,OT,48,96,.500,12,37,.324,36,59,.610,.563,18,20,.900,11,40,51,21,6,7,13,17,48,101,.475,20,49,.408,28,52,.538,.574,14,16,.875,10,31,41,26,9,4,11,19
14,14,2024-11-16,,UTA,W,121,117,,42,83,.506,19,41,.463,23,42,.548,.620,18,25,.720,9,26,35,24,6,3,14,29,37,75,.493,12,26,.462,25,49,.510,.573,31,42,.738,11,22,33,16,11,3,16,20
15,15,2024-11-18,,ATL,L,108,109,,37,85,.435,20,46,.435,17,39,.436,.553,14,19,.737,9,36,45,24,9,4,17,20,39,83,.470,16,38,.421,23,45,.511,.566,15,18,.833,6,31,37,34,7,7,14,19
16,16,2024-11-22,@,LAC,L,88,104,,32,83,.386,7,35,.200,25,48,.521,.428,17,24,.708,8,40,48,19,5,8,15,13,39,94,.415,10,42,.238,29,52,.558,.468,16,16,1.000,11,43,54,27,13,3,12,24
17,17,2024-11-24,,BRK,L,103,108,,37,77,.481,9,25,.360,28,52,.538,.539,20,31,.645,11,33,44,21,6,6,16,22,36,75,.480,19,39,.487,17,36,.472,.607,17,25,.680,6,25,31,24,7,5,14,23
18,18,2024-11-25,,OKC,L,109,130,,42,87,.483,8,32,.250,34,55,.618,.529,17,23,.739,9,22,31,24,10,4,12,22,48,86,.558,14,31,.452,34,55,.618,.640,20,25,.800,11,33,44,28,6,3,15,18
19,19,2024-11-27,@,MIN,W,115,104,,46,94,.489,12,37,.324,34,57,.596,.553,11,15,.733,12,35,47,28,8,3,17,21,33,74,.446,14,39,.359,19,35,.543,.541,24,27,.889,4,29,33,25,11,9,15,19
20,20,2024-11-29,@,POR,L,106,115,,35,78,.449,15,42,.357,20,36,.556,.545,21,28,.750,11,30,41,29,7,4,20,19,46,90,.511,11,37,.297,35,53,.660,.572,12,15,.800,8,32,40,27,10,3,12,17
21,21,2024-12-01,,SAS,L,125,127,,47,101,.465,12,32,.375,35,69,.507,.525,19,24,.792,21,30,51,32,8,5,10,23,42,82,.512,23,46,.500,19,36,.528,.652,20,24,.833,8,30,38,32,6,9,16,17
22,22,2024-12-03,,HOU,W,120,111,,47,91,.516,14,30,.467,33,61,.541,.593,12,20,.600,10,24,34,33,7,8,10,20,41,93,.441,14,39,.359,27,54,.500,.516,15,21,.714,18,35,53,14,6,1,16,23
23,23,2024-12-05,@,MEM,L,110,115,,39,98,.398,8,35,.229,31,63,.492,.439,24,28,.857,14,32,46,19,11,1,13,23,38,80,.475,13,38,.342,25,42,.595,.556,26,32,.813,9,40,49,27,9,5,22,21
24,24,2024-12-06,@,SAS,W,140,113,,51,90,.567,16,34,.471,35,56,.625,.656,22,24,.917,7,37,44,33,7,6,11,20,39,91,.429,14,41,.341,25,50,.500,.505,21,30,.700,12,30,42,28,8,5,14,20
25,25,2024-12-08,,UTA,W,141,97,,57,100,.570,22,44,.500,35,56,.625,.680,5,8,.625,9,34,43,39,10,7,8,17,31,80,.388,15,42,.357,16,38,.421,.481,20,21,.952,9,29,38,21,6,6,20,17
26,26,2024-12-12,@,NOP,W,111,109,,37,92,.402,10,33,.303,27,59,.458,.457,27,29,.931,17,33,50,24,12,2,11,19,39,83,.470,14,37,.378,25,46,.543,.554,17,20,.850,10,33,43,22,6,4,17,22
27,27,2024-12-16,,DEN,L,129,130,,49,102,.480,12,35,.343,37,67,.552,.539,19,20,.950,11,31,42,28,10,9,11,23,51,102,.500,10,28,.357,41,74,.554,.549,18,24,.750,15,40,55,38,9,4,15,18
28,28,2024-12-19,,LAL,L,100,113,,37,82,.451,11,29,.379,26,53,.491,.518,15,22,.682,4,39,43,27,7,6,16,20,38,94,.404,12,33,.364,26,61,.426,.468,25,30,.833,14,39,53,22,8,10,13,16
29,29,2024-12-21,,LAL,L,99,103,,39,90,.433,10,37,.270,29,53,.547,.489,11,14,.786,11,35,46,25,10,1,14,20,40,83,.482,9,35,.257,31,48,.646,.536,14,21,.667,9,39,48,23,10,6,14,14
30,30,2024-12-22,,IND,L,95,122,,35,96,.365,12,38,.316,23,58,.397,.427,13,17,.765,15,32,47,21,3,3,10,11,50,86,.581,17,39,.436,33,47,.702,.680,5,8,.625,6,44,50,36,7,5,12,15
31,31,2024-12-26,,DET,L,113,114,,39,82,.476,14,39,.359,25,43,.581,.561,21,26,.808,8,36,44,20,3,6,14,20,38,91,.418,17,44,.386,21,47,.447,.511,21,25,.840,10,34,44,25,6,4,10,22
32,32,2024-12-28,@,LAL,L,122,132,,50,98,.510,11,40,.275,39,58,.672,.566,11,15,.733,13,26,39,38,7,2,10,26,46,77,.597,14,26,.538,32,51,.627,.688,26,33,.788,4,29,33,33,4,3,11,13
33,33,2024-12-30,,DAL,W,110,100,,42,100,.420,10,32,.313,32,68,.471,.470,16,19,.842,18,40,58,25,8,1,16,23,32,76,.421,12,31,.387,20,45,.444,.500,24,29,.828,2,34,36,17,8,13,18,20
34,34,2025-01-01,,PHI,W,113,107,,41,84,.488,9,31,.290,32,53,.604,.542,22,24,.917,14,31,45,24,11,4,17,14,40,84,.476,15,40,.375,25,44,.568,.565,12,14,.857,8,26,34,24,10,5,19,22
35,35,2025-01-03,,MEM,W,138,133,,49,99,.495,21,47,.447,28,52,.538,.601,19,23,.826,10,27,37,32,10,8,10,23,43,89,.483,17,37,.459,26,52,.500,.579,30,36,.833,14,37,51,31,5,4,17,20
36,36,2025-01-05,@,GSW,W,129,99,,45,87,.517,19,43,.442,26,44,.591,.626,20,22,.909,10,33,43,31,15,3,16,19,37,81,.457,12,35,.343,25,46,.543,.531,13,18,.722,9,26,35,22,10,3,22,21
37,37,2025-01-06,,MIA,W,123,118,2OT,45,108,.417,13,38,.342,32,70,.457,.477,20,26,.769,18,42,60,30,7,8,15,20,43,102,.422,11,42,.262,32,60,.533,.475,21,27,.778,12,41,53,25,14,6,14,19
38,38,2025-01-10,@,BOS,W,114,97,,44,102,.431,18,47,.383,26,55,.473,.520,8,9,.889,16,40,56,26,11,8,12,18,34,84,.405,11,41,.268,23,43,.535,.470,18,22,.818,8,35,43,22,5,7,15,14
39,39,2025-01-12,@,CHI,W,124,119,,47,95,.495,13,39,.333,34,56,.607,.563,17,21,.810,11,42,53,33,4,3,8,14,43,93,.462,18,37,.486,25,56,.446,.559,15,20,.750,8,37,45,26,4,4,8,18
40,40,2025-01-14,@,MIL,L,115,130,,42,95,.442,17,42,.405,25,53,.472,.532,14,18,.778,9,36,45,25,4,5,9,16,49,99,.495,17,45,.378,32,54,.593,.581,15,18,.833,11,41,52,32,2,4,9,21
41,41,2025-01-16,,HOU,W,132,127,,49,98,.500,14,33,.424,35,65,.538,.571,20,22,.909,12,32,44,32,5,3,12,15,49,93,.527,12,33,.364,37,60,.617,.591,17,24,.708,12,34,46,24,10,6,14,18
42,42,2025-01-19,,WAS,W,123,100,,46,95,.484,12,39,.308,34,56,.607,.547,19,24,.792,10,41,51,28,12,4,12,20,32,89,.360,10,42,.238,22,47,.468,.416,26,32,.813,10,36,46,19,6,1,17,16
43,43,2025-01-22,,GSW,W,123,117,,41,81,.506,11,30,.367,30,51,.588,.574,30,32,.938,5,33,38,24,9,7,8,14,43,92,.467,22,48,.458,21,44,.477,.587,9,13,.692,12,32,44,31,5,2,19,27
44,44,2025-01-23,@,DEN,L,123,132,,47,107,.439,15,41,.366,32,66,.485,.509,14,19,.737,17,36,53,31,5,3,13,20,49,101,.485,13,37,.351,36,64,.563,.550,21,31,.677,15,41,56,30,10,8,11,14
45,45,2025-01-25,@,NYK,L,120,143,,46,95,.484,14,36,.389,32,59,.542,.558,14,16,.875,9,29,38,33,5,5,12,19,52,105,.495,17,36,.472,35,69,.507,.576,22,23,.957,17,36,53,40,9,4,11,13
46,46,2025-01-27,@,BRK,W,110,96,,45,82,.549,9,28,.321,36,54,.667,.604,11,17,.647,11,33,44,31,7,4,18,24,30,82,.366,10,36,.278,20,46,.435,.427,26,30,.867,16,23,39,19,9,3,16,20
47,47,2025-01-29,@,PHI,L,104,117,,40,90,.444,10,41,.244,30,49,.612,.500,14,17,.824,14,32,46,34,5,1,12,16,43,82,.524,12,29,.414,31,53,.585,.598,19,22,.864,5,30,35,30,8,1,10,20
48,48,2025-02-01,@,OKC,L,110,144,,40,100,.400,11,44,.250,29,56,.518,.455,19,26,.731,9,28,37,25,8,5,8,10,57,107,.533,19,46,.413,38,61,.623,.621,11,16,.688,20,50,70,37,5,6,12,18
49,49,2025-02-03,@,MIN,W,116,114,,45,92,.489,10,24,.417,35,68,.515,.543,16,20,.800,11,36,47,23,7,6,12,16,43,94,.457,12,40,.300,31,54,.574,.521,16,16,1.000,11,25,36,28,5,8,8,16
50,50,2025-02-05,,ORL,L,111,130,,40,80,.500,10,27,.370,30,53,.566,.563,21,28,.750,14,23,37,23,6,4,19,14,50,88,.568,16,31,.516,34,57,.596,.659,14,15,.933,9,26,35,30,8,3,11,24
51,51,2025-02-06,@,POR,L,102,108,,37,88,.420,10,30,.333,27,58,.466,.477,18,22,.818,11,36,47,21,8,6,11,20,39,90,.433,16,40,.400,23,50,.460,.522,14,18,.778,10,37,47,25,5,7,13,18
52,52,2025-02-08,,NOP,W,123,118,,43,91,.473,11,41,.268,32,50,.640,.533,26,33,.788,11,40,51,24,10,7,18,22,43,90,.478,14,36,.389,29,54,.537,.556,18,25,.720,5,34,39,27,12,8,16,24
53,53,2025-02-10,@,DAL,W,129,128,OT,53,96,.552,9,26,.346,44,70,.629,.599,14,19,.737,13,37,50,28,3,3,21,22,49,95,.516,15,37,.405,34,58,.586,.595,15,24,.625,5,28,33,31,11,4,13,19
54,54,2025-02-12,@,NOP,W,119,111,,41,87,.471,16,45,.356,25,42,.595,.563,21,29,.724,12,36,48,28,4,7,11,16,44,94,.468,8,32,.250,36,62,.581,.511,15,18,.833,12,28,40,28,7,5,9,23
55,55,2025-02-13,@,NOP,L,133,140,OT,49,112,.438,17,47,.362,32,65,.492,.513,18,21,.857,21,37,58,38,8,1,15,19,46,92,.500,21,50,.420,25,42,.595,.614,27,34,.794,7,38,45,32,11,7,10,17
56,56,2025-02-21,,GSW,L,108,132,,40,79,.506,11,32,.344,29,47,.617,.576,17,18,.944,11,28,39,26,8,3,24,16,50,93,.538,20,43,.465,30,50,.600,.645,12,12,1.000,11,24,35,40,13,3,12,19
57,57,2025-02-24,,CHO,W,130,88,,47,87,.540,20,38,.526,27,49,.551,.655,16,18,.889,11,38,49,30,12,4,18,18,30,85,.353,10,40,.250,20,45,.444,.412,18,24,.750,15,22,37,24,14,4,19,16
58,58,2025-02-26,@,UTA,W,118,101,,46,87,.529,15,36,.417,31,51,.608,.615,11,12,.917,7,40,47,28,6,7,16,13,38,84,.452,16,44,.364,22,40,.550,.548,9,17,.529,7,27,34,32,9,2,10,13
59,59,2025-03-01,@,HOU,W,113,103,,44,87,.506,9,28,.321,35,59,.593,.557,16,21,.762,13,33,46,21,13,5,14,17,37,86,.430,13,35,.371,24,51,.471,.506,16,23,.696,13,30,43,18,7,2,16,16
