Rk,Gtm,Date,,Opp_team,Rslt,Tm_PTS,Opp_PTS,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_eFG%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF
49,49,2025-02-02,,LAC,W,115,108,,44,85,.518,13,25,.520,31,60,.517,.594,14,16,.875,10,33,43,31,6,6,14,17,41,88,.466,9,28,.321,32,60,.533,.517,17,21,.810,13,28,41,21,6,7,10,15
50,50,2025-02-04,,NYK,L,115,121,,43,82,.524,11,29,.379,32,53,.604,.591,18,19,.947,10,24,34,27,7,4,14,22,47,94,.500,8,25,.320,39,69,.565,.543,19,23,.826,17,26,43,26,10,4,13,15
51,51,2025-02-05,,MEM,L,107,138,,39,98,.398,12,42,.286,27,56,.482,.459,17,19,.895,14,20,34,28,11,3,10,29,47,89,.528,16,38,.421,31,51,.608,.618,28,38,.737,24,37,61,22,7,5,18,19
52,52,2025-02-07,@,OKC,L,109,121,,39,91,.429,19,41,.463,20,50,.400,.533,12,19,.632,14,28,42,31,9,6,12,24,43,84,.512,9,31,.290,34,53,.642,.565,26,31,.839,11,33,44,26,10,7,12,14
53,53,2025-02-09,@,HOU,L,87,94,,33,90,.367,8,42,.190,25,48,.521,.411,13,17,.765,7,41,48,19,5,6,10,21,31,86,.360,10,38,.263,21,48,.438,.419,22,28,.786,10,48,58,17,8,3,15,19
54,54,2025-02-11,@,PHI,W,106,103,,38,82,.463,11,33,.333,27,49,.551,.530,19,23,.826,10,39,49,23,8,4,19,20,37,91,.407,9,38,.237,28,53,.528,.456,20,24,.833,14,32,46,22,10,2,14,18
55,55,2025-02-12,,CLE,L,108,131,,42,91,.462,10,29,.345,32,62,.516,.516,14,21,.667,9,30,39,26,7,5,15,14,48,99,.485,18,53,.340,30,46,.652,.576,17,20,.850,13,40,53,34,11,4,13,19
56,56,2025-02-21,,MIA,L,111,120,OT,38,91,.418,17,43,.395,21,48,.438,.511,18,23,.783,14,32,46,25,8,2,14,19,46,90,.511,13,36,.361,33,54,.611,.583,15,18,.833,8,36,44,20,8,3,14,22
57,57,2025-02-23,,PHO,W,127,109,,43,88,.489,20,35,.571,23,53,.434,.602,21,30,.700,14,35,49,30,6,1,14,23,43,85,.506,7,28,.250,36,57,.632,.547,16,22,.727,4,33,37,22,9,7,12,19
58,58,2025-02-25,,BOS,L,101,111,,42,83,.506,5,33,.152,37,50,.740,.536,12,16,.750,10,30,40,27,10,1,17,14,44,93,.473,15,51,.294,29,42,.690,.554,8,8,1.000,12,27,39,24,9,4,15,16
