Rk,Gtm,Date,,Opp_team,Rslt,Tm_PTS,Opp_PTS,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_eFG%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF
52,52,2025-02-07,,MIL,W,115,110,,45,92,.489,13,36,.361,32,56,.571,.560,12,18,.667,11,41,52,29,6,6,11,14,41,96,.427,19,50,.380,22,46,.478,.526,9,10,.900,7,36,43,28,5,3,10,17
53,53,2025-02-08,@,WAS,W,125,111,,47,97,.485,18,44,.409,29,53,.547,.577,13,17,.765,8,33,41,36,6,7,12,19,41,93,.441,9,36,.250,32,57,.561,.489,20,21,.952,14,39,53,26,6,2,18,18
54,54,2025-02-10,@,ORL,W,112,106,,38,77,.494,12,32,.375,26,45,.578,.571,24,28,.857,6,33,39,29,10,3,17,17,37,78,.474,12,30,.400,25,48,.521,.551,20,24,.833,7,29,36,22,10,8,18,21
55,55,2025-02-12,@,NYK,L,148,149,OT,55,110,.500,14,38,.368,41,72,.569,.564,24,35,.686,19,28,47,43,12,10,14,29,54,94,.574,11,26,.423,43,68,.632,.633,30,37,.811,8,31,39,28,6,5,18,23
56,56,2025-02-20,,ORL,L,108,114,,39,100,.390,11,35,.314,28,65,.431,.445,19,28,.679,16,35,51,20,7,4,9,25,41,85,.482,6,25,.240,35,60,.583,.518,26,38,.684,11,42,53,15,6,7,8,22
57,57,2025-02-23,,DET,L,143,148,,48,96,.500,21,45,.467,27,51,.529,.609,26,36,.722,10,30,40,30,8,6,13,21,55,93,.591,20,40,.500,35,53,.660,.699,18,25,.720,5,32,37,39,9,5,19,23
58,58,2025-02-24,,MIA,W,98,86,,40,88,.455,9,35,.257,31,53,.585,.506,9,12,.750,13,37,50,29,13,2,18,22,27,84,.321,7,40,.175,20,44,.455,.363,25,27,.926,14,31,45,15,8,4,18,9
59,59,2025-02-26,@,MIA,L,109,131,,41,81,.506,12,32,.375,29,49,.592,.580,15,19,.789,9,24,33,29,6,3,17,15,45,76,.592,23,42,.548,22,34,.647,.743,18,22,.818,8,27,35,39,10,2,17,13
60,60,2025-02-28,,OKC,L,119,135,,43,88,.489,15,36,.417,28,52,.538,.574,18,23,.783,10,36,46,27,8,5,19,14,51,101,.505,23,50,.460,28,51,.549,.619,10,12,.833,9,34,43,37,10,1,12,18
61,61,2025-03-03,@,MEM,W,132,130,,55,96,.573,13,28,.464,42,68,.618,.641,9,17,.529,14,18,32,35,12,7,12,24,47,93,.505,13,33,.394,34,60,.567,.575,23,25,.920,17,26,43,36,7,3,20,16
62,62,2025-03-04,,MIL,L,121,127,,46,101,.455,16,41,.390,30,60,.500,.535,13,17,.765,11,36,47,33,10,6,12,21,49,96,.510,11,37,.297,38,59,.644,.568,18,23,.783,9,42,51,27,8,1,15,13
63,63,2025-03-06,,IND,W,124,118,,50,94,.532,10,30,.333,40,64,.625,.585,14,18,.778,11,32,43,32,5,4,9,16,44,91,.484,14,39,.359,30,52,.577,.560,16,17,.941,10,32,42,27,5,5,11,18
64,64,2025-03-08,,IND,W,120,118,,45,97,.464,10,34,.294,35,63,.556,.515,20,21,.952,16,32,48,23,10,10,17,22,41,94,.436,10,33,.303,31,61,.508,.489,26,30,.867,15,26,41,29,12,6,16,21
65,65,2025-03-10,,PHI,W,132,123,,53,98,.541,15,37,.405,38,61,.623,.617,11,14,.786,14,34,48,34,4,6,15,18,46,91,.505,16,42,.381,30,49,.612,.593,15,20,.750,6,25,31,29,8,3,11,15
66,66,2025-03-12,,CHO,W,123,110,,37,88,.420,14,36,.389,23,52,.442,.500,35,39,.897,13,30,43,26,13,6,14,16,40,88,.455,14,35,.400,26,53,.491,.534,16,18,.889,10,37,47,29,9,9,21,26
67,67,2025-03-14,,LAC,L,98,121,,37,88,.420,9,33,.273,28,55,.509,.472,15,17,.882,13,31,44,25,8,6,18,18,47,86,.547,12,27,.444,35,59,.593,.616,15,20,.750,7,33,40,27,14,5,14,15
68,68,2025-03-16,@,BRK,L,114,122,,42,90,.467,11,37,.297,31,53,.585,.528,19,24,.792,10,28,38,27,12,11,14,17,43,90,.478,17,35,.486,26,55,.473,.572,19,23,.826,12,28,40,33,7,5,17,18
69,69,2025-03-18,@,CHO,W,134,102,,50,93,.538,22,45,.489,28,48,.583,.656,12,15,.800,11,35,46,27,12,8,11,17,38,84,.452,10,30,.333,28,54,.519,.512,16,21,.762,10,29,39,25,7,8,17,16
70,70,2025-03-22,,GSW,W,124,115,,49,86,.570,15,36,.417,34,50,.680,.657,11,18,.611,10,36,46,37,5,3,16,23,39,84,.464,16,38,.421,23,46,.500,.560,21,26,.808,6,32,38,28,8,4,10,16
71,71,2025-03-23,,PHI,W,132,119,,48,87,.552,17,37,.459,31,50,.620,.649,19,22,.864,10,29,39,35,11,4,17,26,40,91,.440,11,34,.324,29,57,.509,.500,28,37,.757,13,24,37,24,8,4,13,18
72,72,2025-03-25,@,HOU,L,114,121,,43,103,.417,15,49,.306,28,54,.519,.490,13,15,.867,18,24,42,32,8,1,14,26,42,93,.452,11,39,.282,31,54,.574,.511,26,29,.897,14,37,51,17,8,2,16,12
73,73,2025-03-27,@,MIA,L,112,122,,43,83,.518,18,41,.439,25,42,.595,.627,8,11,.727,6,30,36,27,10,2,16,11,44,82,.537,18,33,.545,26,49,.531,.646,16,20,.800,7,30,37,26,10,1,14,10
74,74,2025-03-30,@,MIL,W,145,124,,50,94,.532,17,48,.354,33,46,.717,.622,28,35,.800,15,31,46,36,10,2,9,29,39,82,.476,12,35,.343,27,47,.574,.549,34,43,.791,6,30,36,21,5,2,14,24
75,75,2025-04-01,,POR,L,113,127,,41,92,.446,7,32,.219,34,60,.567,.484,24,28,.857,12,33,45,26,12,8,20,22,47,103,.456,13,41,.317,34,62,.548,.519,20,27,.741,19,35,54,30,13,5,17,18
76,76,2025-04-02,@,DAL,L,118,120,,42,97,.433,15,39,.385,27,58,.466,.510,19,22,.864,12,31,43,29,7,3,11,19,44,83,.530,15,33,.455,29,50,.580,.620,17,21,.810,4,38,42,27,7,8,15,16
77,77,2025-04-05,,NYK,L,105,121,,41,88,.466,14,45,.311,27,43,.628,.545,9,12,.750,9,29,38,24,11,7,15,18,45,84,.536,15,29,.517,30,55,.545,.625,16,19,.842,6,32,38,32,8,5,14,13
78,78,2025-04-06,,UTA,W,147,134,,54,95,.568,22,41,.537,32,54,.593,.684,17,20,.850,11,31,42,43,7,3,12,19,45,87,.517,20,47,.426,25,40,.625,.632,24,28,.857,7,25,32,29,10,4,10,18
79,79,2025-04-08,@,ORL,L,112,119,,40,88,.455,14,41,.341,26,47,.553,.534,18,22,.818,14,27,41,25,7,6,18,26,42,84,.500,14,34,.412,28,50,.560,.583,21,31,.677,13,30,43,23,13,6,14,20
80,80,2025-04-10,@,BRK,W,133,109,,48,84,.571,15,36,.417,33,48,.688,.661,22,33,.667,7,44,51,36,11,1,15,19,36,90,.400,22,52,.423,14,38,.368,.522,15,22,.682,10,31,41,31,8,2,19,26
81,81,2025-04-11,@,PHI,W,124,110,,45,94,.479,16,42,.381,29,52,.558,.564,18,24,.750,18,35,53,28,9,5,15,15,43,97,.443,12,35,.343,31,62,.500,.505,12,15,.800,14,31,45,29,6,6,15,17
82,82,2025-04-13,,ORL,W,117,105,,47,88,.534,17,40,.425,30,48,.625,.631,6,10,.600,9,35,44,32,8,2,16,15,40,88,.455,15,35,.429,25,53,.472,.540,10,15,.667,12,31,43,25,11,5,15,8
