team,score,best_ml_odds,best_spread_odds
Boston,118,-135,-2½ -110
Minnesota,115,+130,+3 -108
Indiana,128,+115,+2½ -115
Miami,115,-124,-2 -109
L.A. Clippers,98,+550,+12½ -110
Oklahoma City,116,-625,-12 -110
Brooklyn,113,+650,+13 -105
Milwaukee,110,-700,-12 -110
Philadelphia,105,+150,+4½ -105
Golden State,139,-170,-3½ -115
Portland,106,+235,+7 -109
L.A. Lakers,114,-260,-6½ -112
Charlotte,94,+260,+8 -105
Detroit,98,-300,-7½ -112
Orlando,106,-124,-1½ -113
Toronto,97,+118,+2½ -105
New York,107,+152,+4½ -108
Oklahoma City,117,-155,-3½ -108
Boston,109,-159,-3½ -115
Houston,86,+158,+4 -108
Washington,120,+250,+7½ -105
New Orleans,132,-278,-7½ -108
Cleveland,134,-375,-9 -110
Dallas,122,+350,+9½ -106
San Antonio,113,+205,+6½ -110
Denver,110,-230,-6 -108
Memphis,133,+148,+3½ -110
Sacramento,138,-143,-3 -110
Atlanta,102,+124,+3 -108
L.A. Lakers,119,-136,-2½ -105
Philadelphia,123,-385,-8½ -114
Brooklyn,94,+345,+9½ -105
Minnesota,105,-255,-6½ -110
Detroit,119,+228,+7 -110
Phoenix,108,+125,+3 -105
Indiana,126,-142,-2½ -112
New York,126,-215,-5½ -113
Chicago,139,+196,+6 -110
Utah,136,+290,+9 -113
Miami,100,-345,-8½ -105
Denver,122,-139,-2½ -105
San Antonio,111,+130,+3½ -115
Portland,105,+525,+12 -108
Milwaukee,102,-625,-11½ -114
Memphis,113,+130,+3½ -115
Golden State,121,-148,-3 -105
Atlanta,105,+240,+7½ -110
L.A. Clippers,131,-270,-7 -105
Boston,92,-109,+1½ -115
Oklahoma City,105,-104,+1 -115
Charlotte,105,+875,+16½ -115
Cleveland,115,-1200,-16 -105
New Orleans,110,-200,-5½ -108
Washington,98,+205,+6 -108
Utah,105,+340,+9½ -112
Orlando,92,-360,-8½ -112
L.A. Lakers,115,+156,+4½ -107
Houston,119,-178,-4 -110
Sacramento,129,+133,+3½ -109
Golden State,99,-154,-2½ -115
Portland,115,+210,+6½ -109
Detroit,118,-235,-6 -108
Phoenix,109,-125,-1½ -115
Philadelphia,99,+110,+2 -109
Orlando,103,+460,+11½ -113
New York,94,-510,-10½ -108
Milwaukee,128,-230,-5½ -115
Toronto,104,+205,+6½ -110
Indiana,113,-530,-10½ -114
Brooklyn,99,+460,+11 -105
Dallas,104,+158,+4½ -105
Memphis,119,-180,-4 -112
L.A. Clippers,106,+120,+2½ -105
Minnesota,108,-134,-2½ -108
San Antonio,110,-145,-2½ -115
Chicago,114,+130,+3½ -110
Miami,118,+158,+4½ -105
Sacramento,123,-170,-4 -110
Houston,135,-835,-13½ -105
Washington,112,+650,+13½ -110
Phoenix,104,-185,-4½ -115
Charlotte,115,+170,+5 -112
L.A. Lakers,97,-240,-6½ -108
Dallas,118,+215,+6½ -107
Minnesota,104,-174,-4 -110
New Orleans,97,+150,+4½ -115
Atlanta,124,-195,-5 -112
Utah,121,+180,+5½ -108
Boston,118,-450,-10 -114
Denver,106,+380,+10½ -105
Miami,114,+310,+9½ -115
Golden State,98,-375,-8½ -110
Chicago,113,+175,+5½ -110
Indiana,129,-182,-5 -105
Oklahoma City,122,+135,+3 -105
Cleveland,129,-143,-2½ -110
Washington,103,+400,+10½ -110
Philadelphia,109,-450,-10 -114
Toronto,98,+600,+12½ -112
New York,112,-700,-11½ -115
Detroit,113,-390,-9½ -108
Brooklyn,98,+345,+9½ -105
Portland,119,+110,+2 -105
New Orleans,100,-124,-1½ -113
L.A. Clippers,103,-164,-3½ -110
Denver,126,+145,+4 -108
San Antonio,105,+165,+5 -108
Milwaukee,121,-177,-4½ -110
Toronto,126,+660,+14 -112
Cleveland,132,-950,-13 -110
Minnesota,104,-220,-5½ -110
Orlando,89,+200,+6 -112
Golden State,107,-134,-2½ -110
Detroit,104,+136,+2½ +100
Portland,111,+260,+7½ -105
Dallas,117,-295,-7½ -109
Houston,119,+130,+3 -105
Memphis,115,-140,-2½ -115
Atlanta,115,+210,+6½ -112
Phoenix,123,-240,-5½ -115
Miami,97,-205,-5½ -105
Utah,92,+196,+5½ -109
Charlotte,87%,+320,+9 -108
L.A. Lakers,13%,-375,-8½ -115
New Orleans,123,+225,+7½ -115
Philadelphia,115,-270,-7 -108
Milwaukee,109,-215,-5½ -115
Orlando,106,+198,+6 -107
Golden State,96,+460,+11 -109
Indiana,108,-530,-10½ -115
Oklahoma City,126,-135,-2½ -110
New York,101,+125,+3½ -112
Sacramento,114,+550,+12 -105
Boston,97,-600,-11½ -115
Washington,105,+400,+11 -113
Chicago,138,-460,-9½ -115
Brooklyn,105,+700,+15 -108
Denver,124,-1000,-14½ -115
Utah,106,+450,+11 -110
Phoenix,114,-530,-10½ -110
Toronto,114,+185,+5½ -115
Detroit,123,-200,-5 -108
Memphis,127,+115,+2½ -112
Minnesota,125,-126,-1½ -110
Miami,119,-167,-4 -113
Portland,98,+172,+5 -112
Houston,29%,-225,-5½ -115
Atlanta,71%,+215,+6 -108
Denver,112,-210,-5½ -108
Dallas,101,+205,+6 -105
Milwaukee,106,+175,+5 -105
New York,140,-190,-4½ -114
Sacramento,124,-190,-5 -110
Chicago,119,+178,+5½ -110
Indiana,108,+320,+9 -110
Cleveland,93,-345,-8½ -114
Philadelphia,99,+114,+2½ -115
Orlando,104,-125,-2 -105
Oklahoma City,136,-1350,-15½ -105
Washington,95,+900,+16½ -115
New Orleans,119,+900,+15 -110
Boston,120,-1100,-14½ -112
Brooklyn,111,+136,+3½ +100
Utah,112,-148,-2½ -115
Charlotte,113,+235,+7½ -110
Phoenix,120,-275,-7 -108
Minnesota,120,-1000,-14½ -110
Washington,106,+800,+15 -113
Golden State,101,-205,-5 -110
Toronto,104,+185,+5½ -109
Detroit,124,+300,+8½ -105
New York,119,-330,-8 -112
Memphis,118,+122,+2½ +100
Houston,120,-130,-2½ -108
Miami,98,+290,+8½ -107
L.A. Clippers,109,-340,-8½ -105
San Antonio,126,+162,+4½ -110
L.A. Lakers,102,-165,-4 -108
Oklahoma City,118,-1500,-15½ -115
Philadelphia,102,+1050,+16½ -115
Cleveland,127,-330,-7½ -115
Indiana,117,+270,+8½ -113
Phoenix,117,-130,-2 -113
Atlanta,122,+115,+2½ -110
New Orleans,119,+108,+2½ -115
Chicago,113,-120,-1½ -110
Sacramento,115,+112,+2 -108
Milwaukee,130,-120,-1 -115
Denver,118,-130,-2½ -109
Dallas,99,+124,+3 -112
Brooklyn,132,+145,+3½ -107
Portland,114,-158,-3½ -108
New York,125,-210,-5½ -108
Philadelphia,119,+195,+6 -109
Boston,97,-835,-13½ -110
Toronto,110,+800,+14½ -115
Dallas,116,+105,+1½ -105
New Orleans,119,-112,-1 -108
Orlando,93,+210,+6½ -105
Milwaukee,122,-240,-6½ -106
Atlanta,110,+205,+6½ -110
Chicago,94,-235,-5½ -115
Memphis,129,-135,-2½ -110
San Antonio,115,+120,+3 -110
Charlotte,117,-210,-5½ -110
Utah,112,+190,+6 -112
Houston,128,-210,-5½ -108
Denver,108,+196,+6½ -115
Golden State,116,+222,+7½ -115
Minnesota,115,-260,-7 -106
Miami,108,+164,+5 -114
L.A. Lakers,117,-180,-4½ -105
Brooklyn,67,+750,+15½ +100
L.A. Clippers,126,-1000,-15 -113
Indiana,111,-125,-1½ -112
Detroit,100,+110,+2 -110
Phoenix,130,-590,-11½ -105
Washington,123,+520,+11½ -105
Cleveland,114,+125,+2½ -107
Oklahoma City,134,-135,-2 -110
L.A. Clippers,118,-275,-6½ -115
Portland,89,+240,+7½ -108
Houston,127,+176,+5 -105
Sacramento,132,-177,-4½ -109
Orlando,94,+800,+15½ -115
Boston,121,-910,-14½ -110
Minnesota,116,+126,+3 -109
New York,99,-146,-2½ -115
Toronto,112,+460,+11 -108
Milwaukee,130,-560,-10½ -115
Utah,123,+500,+12 -110
New Orleans,136,-590,-11 -113
Denver,133,-143,-3 -112
Miami,113,+142,+3½ -108
Charlotte,125,+166,+4½ -105
Chicago,123,-167,-4½ -109
Oklahoma City,98,-140,-2½ -105
Dallas,106,+125,+3 -108
Memphis,140,+118,+2 -105
San Antonio,112,-113,-1 -109
Brooklyn,101,+400,+10 -108
L.A. Lakers,102,-405,-9½ -108
Phoenix,125,-105,+1½ -120
Detroit,121,+100,+1½ -113
Atlanta,119,+360,+9½ -105
Boston,115,-405,-9½ -108
Philadelphia,102,+380,+11 -110
Indiana,115,-455,-10 -110
Washington,114,+800,+14 -110
Golden State,122,-835,-13½ -109
Cleveland,124,-190,-4½ -115
Minnesota,117,+170,+5 -110
Houston,125,-520,-10½ -105
Portland,103,+410,+11 -113
San Antonio,107,+135,+3½ -108
Miami,128,-152,-3 -110
Denver,113,-286,-7 -110
Orlando,100,+240,+8 -110
Philadelphia,109,+650,+13½ -115
Milwaukee,123,-750,-12½ -112
Brooklyn,101,+900,+16½ -110
Oklahoma City,127,-1400,-16 -108
Chicago,102,-180,-4½ -108
Portland,113,+165,+4½ -109
L.A. Lakers,102,+164,+4½ -105
L.A. Clippers,116,-177,-4 -112
Washington,100,+1100,+18½ -115
Sacramento,123,-1700,-17 -110
Dallas,105,-175,-3½ -115
