team,score,best_ml_odds,best_spread_odds
Charlotte,110,+156,+4½ -114
Detroit,107,+275,+8½ -115
Houston,96,-286,-7½ -109
Minnesota,106,+176,+5½ -114
Memphis,108,-195,-5 -110
Atlanta,110,+260,+8 -110
New York,119,-292,-7½ -109
Phoenix,92,+255,+8 -106
Cleveland,118,-292,-7½ -115
Boston,125,-370,-9 -105
Golden State,85,+325,+9½ -115
Utah,119,+430,+11 -110
New Orleans,123,-530,-10½ -115
Chicago,112,+215,+6½ -110
L.A. Clippers,99,-230,-6 -110
New York,99,-650,-11½ -110
Brooklyn,95,+500,+12½ -114
Portland,116,+320,+9 -106
Miami,107,-375,-8½ -110
Orlando,93,-105,+1 -113
Toronto,109,+100,+1½ -114
Philadelphia,109,+450,+12 -114
Denver,144,-520,-11 -108
Washington,88,+625,+13½ -105
L.A. Lakers,111,-835,-13½ -110
Phoenix,108,-770,-12½ -110
Brooklyn,84,+650,+13 -105
Detroit,114,+150,+4 -110
Atlanta,104,-159,-3½ -114
Minnesota,115,-165,-3½ -110
Dallas,114,+145,+4 -112
Cleveland,108,-110,-1 -105
Houston,109,-104,+1½ -125
Charlotte,120,+480,+12 -110
Memphis,132,-575,-11½ -110
Utah,114,+1050,+16½ -110
Oklahoma City,123,-1250,-16 -110
Golden State,117,+245,+7½ -110
Sacramento,123,-275,-7 -110
Boston,117,-625,-11½ -113
L.A. Clippers,113,+525,+12½ -112
Milwaukee,100%,-205,-5½ -105
New Orleans,0%,+180,+5½ -110
San Antonio,140,+122,+3 -110
Indiana,110,-137,-2½ -105
Portland,101,+228,+7½ -110
Orlando,79,-260,-6½ -118
Toronto,122,+196,+5½ -114
Atlanta,119,-205,-5 -108
Dallas,121,+475,+12 -108
Oklahoma City,115,-590,-11½ -105
Miami,96,+205,+6½ -110
Milwaukee,125,-230,-5½ -114
Sacramento,123,+260,+7½ -105
Denver,132,-275,-7½ -108
Boston,96,-225,-6 -110
L.A. Lakers,117,+210,+6½ -110
Chicago,106,+160,+4½ -118
Golden State,131,-159,-4 -105
Washington,93,+800,+14½ -112
L.A. Clippers,110,-910,-14 -110
Portland,102,-110,-1 -107
Charlotte,97,+105,+1½ -110
Cleveland,129,-425,-9 -110
Philadelphia,132,+370,+10 -113
New Orleans,126,+340,+9½ -108
Memphis,139,-400,-9½ -105
Indiana,136,-135,-2½ -113
San Antonio,98,+126,+3½ -115
Denver,104,-155,-3½ -108
Minnesota,133,+158,+4 -113
Boston,122,-335,-8½ -109
Dallas,107,+310,+9 +100
Miami,106,-240,-6½ +100
Brooklyn,97,+245,+7 -112
Detroit,113,+142,+3½ -105
Orlando,121,-148,-3 -110
New Orleans,92,-120,-1½ -110
Charlotte,123,+114,+2½ -112
Toronto,117,+195,+6 -108
Atlanta,94,-200,-5½ -110
Sacramento,120,+162,+5 -110
New York,143,-175,-4 -113
Houston,135,+170,+5 -115
Cleveland,131,-180,-4½ -110
Philadelphia,109,+145,+4 -113
Chicago,97,-155,-3½ -105
Utah,103,+450,+11½ -112
Memphis,125,-485,-11 -110
L.A. Lakers,118,-108,+1 -115
Golden State,108,-102,+1½ -130
Washington,109,+800,+14 -106
Phoenix,119,-900,-13½ -115
Milwaukee,117,+140,+3½ -110
L.A. Clippers,127,-148,-3½ -105
Oklahoma City,118,-900,-13½ -115
Portland,108,+650,+14 -107
Detroit,91,+400,+11 -112
Cleveland,110,-455,-10½ -110
L.A. Lakers,112,-195,-4½ -115
Charlotte,107,+176,+5 -108
Orlando,119,-110,+1 -115
Miami,125,+100,+1½ -120
Sacramento,110,-590,-11½ -113
Brooklyn,96,+550,+12½ -115
Memphis,106,+145,+3½ -105
New York,143,-159,-3½ -110
New Orleans,104,-105,+1½ -130
Toronto,113,-105,PK -105
Houston,114,+194,+6 -112
Boston,112,-205,-5½ -115
Denver,121,-385,-9 -112
Chicago,129,+345,+9½ -105
Atlanta,92,+440,+11 -110
Minnesota,100,-500,-10½ -110
Washington,108,+650,+13½ -115
Dallas,130,-770,-12½ -113
Milwaukee,125,-370,-8½ -110
Utah,110,+320,+9½ -110
L.A. Clippers,109,-109,-1 -106
Phoenix,111,-102,+1½ -118
L.A. Lakers,104,-190,-4 -115
Philadelphia,118,+175,+5½ -113
Houston,100,-180,-4½ -110
Atlanta,96,+165,+5 -110
Milwaukee,112,-205,-5½ -110
Portland,125,+198,+6 -109
Utah,103,+420,+11 -114
Golden State,114,-480,-10 -115
Detroit,119,+194,+6 -109
Indiana,133,-218,-5½ -110
Toronto,106,-210,-5½ -110
Washington,82,+198,+6 -110
Brooklyn,104,+108,+2 -110
Charlotte,83,-115,PK -115
Denver,112,+130,+3 +100
New York,122,-136,-2½ -110
Sacramento,104,-315,-7½ -110
Philadelphia,117,+275,+8 -109
Cleveland,126,-218,-5½ -115
Miami,106,+195,+6½ -107
Chicago,100,+700,+14½ -110
Boston,122,-910,-14½ -105
L.A. Clippers,128,-165,-3½ -115
San Antonio,116,+154,+4 -108
Dallas,137,-110,PK -110
New Orleans,136,-102,+1½ -120
Minnesota,121,+105,+2 -110
Phoenix,113,-115,-1 -108
Oklahoma City,109,-385,-9 -110
Golden State,116,+350,+9½ -106
L.A. Lakers,134,-350,-8½ -105
Washington,96,+320,+9 -108
Atlanta,115,+460,+11½ -105
Cleveland,137,-575,-11 -107
Minnesota,138,-220,-5½ -102
Utah,113,+205,+6 -112
Houston,119,+152,+4½ -105
Memphis,120,-166,-4 -105
Orlando,90,-190,-4½ -115
Portland,119,+175,+5 +100
L.A. Clippers,112,-850,-13 -109
Charlotte,104,+700,+13½ -106
Dallas,102,-105,+1½ -125
Detroit,117,+100,+1½ -110
Denver,137,-385,-9 -114
Philadelphia,134,+350,+9½ +100
Chicago,122,+152,+4½ -108
Toronto,106,-167,-4 -110
Milwaukee,118,-137,-2½ -110
San Antonio,144,+124,+2½ -105
Boston,118,-625,-12 -108
New Orleans,116,+500,+12½ -115
Phoenix,130,-141,-2½ -110
Golden State,105,+135,+3 -110
