team,score,best_ml_odds,best_spread_odds
New Orleans,119,+650,+13½ -105
Minnesota,115,-750,-13 -110
New York,105,-335,-8 -108
San Antonio,120,+295,+8½ -112
Philadelphia,100,+475,+12½ -110
Oklahoma City,133,-560,-11½ -110
Washington,112,+120,+2½ -108
Utah,128,-132,-2½ -106
Chicago,121,+185,+5½ -108
Phoenix,127,-205,-5½ -108
Cleveland,119,-245,-6½ -109
Sacramento,123,+215,+6½ -105
Memphis,99,-175,-4½ -105
Portland,115,+162,+4½ -105
Denver,108,+192,+5½ -105
L.A. Lakers,120,-188,-5 -114
Brooklyn,99,+278,+8 -109
Indiana,105,-305,-7½ -110
New York,98,-295,-7½ -110
Charlotte,115,+260,+8 -113
Chicago,128,+260,+7½ -108
Sacramento,116,-286,-7 -110
Toronto,114,+750,+15 -110
Golden State,117,-1000,-14½ -105
Milwaukee,118,-330,-8 -110
L.A. Lakers,89,+285,+8½ -112
Orlando,120,-335,-8½ -107
Washington,105,+290,+8½ -110
Philadelphia,120,+194,+6½ -118
San Antonio,128,-210,-6 -105
Charlotte,106,+1500,+20½ -108
Oklahoma City,141,-2400,-20 -108
New Orleans,93,+950,+15½ -112
Minnesota,134,-1200,-15 -110
Houston,102,-180,-4½ -108
Miami,98,+162,+5 -110
Detroit,117,-385,-9½ -102
Dallas,123,+328,+9½ -110
Boston,121,-1000,-14½ -112
Utah,99,+800,+15½ -115
Cleveland,112,-345,-8 -110
Phoenix,123,+300,+8½ -108
Denver,109,+105,+2 -110
Portland,128,+114,+2 -110
Memphis,108,+230,+7 -110
L.A. Clippers,128,-245,-6½ -110
Brooklyn,103,+600,+13½ -115
Indiana,108,-370,-9 -105
Golden State,115,-132,-2½ -110
Atlanta,124,+125,+3 -115
Washington,103,+800,+16 -110
New York,122,-1100,-15½ -108
Milwaukee,114,+102,+2 -115
Sacramento,108,-118,-1½ -110
Chicago,146,+430,+10½ -109
L.A. Lakers,115,-490,-10½ -105
New Orleans,130,+500,+12½ -115
Detroit,136,-500,-10½ -110
Cleveland,120,-1430,-16 -112
Utah,91,+1040,+17 -115
Philadelphia,119,+400,+10½ -105
Atlanta,132,-480,-10½ -105
San Antonio,123,-105,+1½ -135
Toronto,89,-105,+1 -110
Boston,129,-245,-6 -115
Portland,116,+215,+6½ -106
Charlotte,105,+250,+8 -110
Miami,122,-286,-7½ -110
Denver,116,+260,+8 -105
Houston,111,-286,-7½ -110
Oklahoma City,103,-108,-1 -105
L.A. Clippers,101,-104,+1½ -120
Toronto,112,+120,+2½ -108
Washington,104,-130,-2 -110
L.A. Lakers,106,-170,-3½ -118
Orlando,118,+152,+4½ -114
Minnesota,103,-118,-1½ -110
Indiana,119,+110,+2½ -110
Dallas,120,-144,-2½ -112
Brooklyn,101,+130,+3½ -113
Philadelphia,99,+130,+3½ -114
New Orleans,112,-146,-2½ -115
Chicago,129,+120,+2½ -108
Denver,119,-130,-2½ -110
Milwaukee,106,+130,+3 -105
Phoenix,108,-148,-2½ -114
Boston,113,-195,-4½ -115
Sacramento,95,+175,+5 -105
San Antonio,96,+328,+9 -110
Detroit,122,-360,-8½ -110
Orlando,111,-180,-5 -108
Charlotte,104,+164,+5½ -112
Golden State,86,-175,-4½ -108
Miami,112,+172,+5½ -110
Dallas,113,+500,+11½ -105
New York,128,-550,-11½ -107
Atlanta,114,+260,+8 -110
Houston,121,-295,-7½ -110
Memphis,140,-500,-11 -107
Utah,103,+460,+11½ -110
Oklahoma City,121,-345,-8½ -108
Sacramento,105,+290,+8½ -105
Cleveland,122,-245,-6 -115
Portland,111,+210,+6½ -110
Washington,119,+128,+3½ -109
Philadelphia,114,-140,-2½ -115
L.A. Lakers,120,-110,+1½ -125
Indiana,119,+100,+1½ -110
L.A. Clippers,126,-175,-4 -112
New York,113,+162,+4½ -108
Toronto,116,+115,+2½ -110
Brooklyn,86,-134,-2½ -106
Milwaukee,117,+500,+12½ -125
Denver,127,-590,-11½ -110
Boston,132,-178,-4½ -110
Phoenix,102,+172,+5 -112
Dallas,101,+215,+7 -112
Orlando,92,-250,-6½ -105
Indiana,162,-700,-11½ -115
Washington,109,+550,+13 -110
San Antonio,116,+700,+14 -110
Cleveland,124,-900,-13½ -115
Atlanta,112,+108,+2 -110
Miami,122,-115,-1 -110
Memphis,104,+460,+11 -110
Oklahoma City,125,-525,-10½ -110
L.A. Lakers,117,-165,-3½ -115
Chicago,119,+158,+4 -108
Houston,121,-900,-13½ -105
Utah,110,+650,+14 -113
Portland,107,+198,+6 -110
Sacramento,128,-220,-5½ -105
Cleveland,122,-245,-6½ -110
Detroit,133,+230,+7 -110
Charlotte,97,+196,+6 -105
Toronto,108,-205,-5½ -110
L.A. Clippers,132,-700,-12½ -110
Brooklyn,100,+700,+13½ -105
Phoenix,109,+260,+8½ -110
Minnesota,124,-278,-7½ -108
Golden State,111,-1115,-16 -108
New Orleans,95,+950,+17½ -108
New York,116,+102,+1½ -110
Milwaukee,107,-115,-1 -110
Utah,93,+1350,+19 -110
Denver,129,-2200,-18½ -110
Sacramento,91,+105,+2½ -115
Orlando,121,-118,-1 -112
Brooklyn,115,+122,+2½ -105
Washington,112,-127,-2 -112
Miami,118,-315,-7½ -110
Philadelphia,95,+275,+8½ -113
Indiana,111,+310,+8½ -108
Oklahoma City,132,-345,-8½ -105
Dallas,120,+126,+3 -105
Chicago,119,-137,-2½ -113
Boston,121,-670,-12½ -108
San Antonio,111,+600,+12½ -105
L.A. Lakers,134,+110,+2½ -112
Memphis,127,-115,-1 -110
L.A. Clippers,122,+235,+7½ -105
Cleveland,127,-270,-6½ -115
Portland,93,+235,+7½ -114
New York,110,-275,-6½ -115
Charlotte,94,+125,+3 -109
New Orleans,98,-132,-2½ -108
Golden State,148,-560,-11½ -108
San Antonio,106,+460,+11½ -110
Atlanta,145,+158,+4½ -115
Milwaukee,124,-175,-4 -110
Detroit,104,+260,+8 -110
Minnesota,123,-286,-7½ -108
Toronto,127,-195,-5½ -107
Philadelphia,109,+215,+6½ -110
Houston,148,-132,-2½ -105
Phoenix,109,+118,+2½ -105
Utah,106,+160,+4½ -105
Charlotte,110,-180,-4½ -110
L.A. Clippers,96,-146,-3 -109
Orlando,87,+148,+3½ -110
Sacramento,109,+142,+4 -108
Indiana,111,-164,-3½ -110
Miami,120,-410,-9½ -108
Washington,94,+370,+9½ -105
Boston,117,-170,-3½ -115
Memphis,103,+154,+4½ -110
Chicago,117,+850,+15½ -105
Oklahoma City,145,-1100,-15 -108
Brooklyn,113,+360,+10 -112
Dallas,109,-435,-9½ -115
Houston,98,+162,+4½ -109
L.A. Lakers,104,-180,-4 -108
