team,score,best_ml_odds,best_spread_odds
Washington,113,+158,+4 -108
Charlotte,100,-165,-3½ -110
Brooklyn,94,+500,+12½ -105
Detroit,115,-550,-12 -108
Sacramento,113,+150,+4½ -110
Houston,103,-167,-3½ -118
San Antonio,130,+180,+6 -115
Memphis,128,-200,-5 -110
Milwaukee,132,-143,-2½ -110
Dallas,117,+130,+3 -107
Golden State,119,-250,-6½ -110
Philadelphia,126,+235,+7 -105
Denver,103,+200,+5½ -106
Boston,110,-205,-5½ -110
Portland,129,+420,+11 -109
Cleveland,133,-500,-10½ -110
Chicago,112,+460,+11½ -105
Indiana,127,-530,-11½ -105
New York,116,-225,-5½ -115
Miami,112,+195,+6½ -110
Toronto,104,+225,+7 -110
Orlando,102,-260,-6½ -115
Oklahoma City,146,-715,-12½ -110
San Antonio,132,+550,+13 -105
New Orleans,128,-285,-7½ -105
Utah,121,+245,+7½ -105
Minnesota,116,-115,-1 -112
Phoenix,98,+110,+1½ -108
L.A. Clippers,102,-124,-2 -108
L.A. Lakers,108,+110,+2½ -105
Portland,119,-110,PK -115
Philadelphia,102,+104,+1½ -108
Golden State,119,-670,-12½ -108
Charlotte,101,+550,+13 -112
Washington,90,+285,+9 -115
Miami,106,-350,-8 -114
Atlanta,132,+265,+8½ -115
Memphis,130,-295,-8 -107
Houston,128,+750,+14½ -110
Oklahoma City,137,-770,-14 -110
Sacramento,122,-115,-1½ -110
Dallas,98,+114,+2½ -113
Detroit,134,-480,-10½ -110
Utah,106,+400,+11 -114
Houston,102,+170,+5 -110
Indiana,115,-175,-4½ -110
Toronto,114,+215,+6½ -109
Orlando,113,-235,-6 -105
Golden State,114,-103,+1 -109
New York,102,-108,+1½ -120
Milwaukee,127,-198,-5 -105
Atlanta,121,+180,+5½ -112
Cleveland,139,-715,-13½ -108
Chicago,117,+650,+13½ -105
Philadelphia,112,+600,+14 -113
Minnesota,126,-770,-12½ -115
Brooklyn,113,+140,+3½ -110
San Antonio,127,-152,-3½ -105
L.A. Clippers,117,-135,-2½ -110
Phoenix,119,+130,+3 -112
New Orleans,115,+270,+8 -114
L.A. Lakers,136,-315,-7½ -110
Utah,122,+176,+5½ -105
Washington,125,-190,-5½ -105
Miami,107,+610,+13½ -108
Cleveland,112,-800,-13 -110
Minnesota,125,-345,-9 -107
Charlotte,110,+320,+9½ -115
Portland,118,+320,+9½ -115
Boston,128,-375,-9 -108
Dallas,107,+500,+12 -110
Milwaukee,137,-625,-11½ -107
Sacramento,110,+275,+8½ -110
Denver,116,-315,-8 -105
Oklahoma City,120,-245,-7 -109
Memphis,103,+230,+7½ -115
Detroit,115,-140,-3 -105
L.A. Clippers,123,+140,+3½ -108
Chicago,125,+270,+8½ -110
Orlando,123,-320,-8 -105
Philadelphia,105,+700,+14 -110
Boston,123,-835,-13½ -108
Indiana,118,+118,+2½ -115
Atlanta,124,-127,-1½ -112
Golden State,121,-500,-11 -109
Brooklyn,119,+425,+11½ -110
Houston,109,-154,-3 -115
New Orleans,97,+143,+3½ -108
New York,109,+125,+3 -109
L.A. Lakers,113,-130,-2½ -105
Cleveland,118,-1200,-15½ -112
Charlotte,117,+900,+16 -105
Utah,109,+192,+5½ -110
Toronto,118,-200,-5½ -108
Memphis,122,-425,-10 -106
Dallas,111,+370,+10½ -118
Minnesota,106,-155,-3½ -110
Miami,104,+143,+4 -108
Portland,89,+115,+2 -110
Oklahoma City,107,-120,-1½ -110
San Antonio,109,+215,+6½ -105
Sacramento,127,-240,-6½ -108
Phoenix,141,+335,+9½ -115
Denver,149,-355,-9 -106
New York,95,+215,+7 -110
L.A. Clippers,105,-220,-6 -109
Brooklyn,102,-196,-5 -110
Charlotte,105,+178,+5½ -110
New Orleans,117,+280,+8 -108
Houston,146,-305,-7½ -105
Washington,118,+150,+4 -105
Toronto,117,-157,-3½ -112
Indiana,118,-148,-3 -110
Atlanta,120,+135,+4 -108
Chicago,114,+165,+5 -109
Miami,109,-186,-4½ -115
Orlando,111,+162,+4½ -105
Milwaukee,109,-184,-4 -112
Detroit,110,+185,+6 -112
Golden State,115,-205,-5½ -108
L.A. Lakers,101,+235,+7½ -109
Boston,111,-275,-7 -115
Denver,103,+270,+7½ -106
Oklahoma City,127,-278,-7½ -110
Phoenix,125,-245,-6½ -110
Dallas,116,+230,+6½ -105
Memphis,107,-430,-10 -110
New Orleans,104,+400,+10½ -110
Utah,122,+210,+6½ -108
Philadelphia,126,-235,-6 -115
Cleveland,112,-250,-7 -105
Milwaukee,100,+230,+7½ -112
San Antonio,124,+425,+11½ -114
Minnesota,141,-500,-10½ -110
Detroit,119,-155,-3½ -110
Portland,112,+142,+4 -110
Sacramento,110,+205,+6½ -105
L.A. Clippers,111,-235,-6½ -107
L.A. Lakers,108,-195,-5 -112
Brooklyn,111,+180,+5½ -105
Philadelphia,123,+350,+9½ -105
Atlanta,132,-400,-9 -114
Utah,108,+900,+16 -109
Boston,114,-1115,-15½ -110
Washington,104,+230,+7½ -115
Toronto,119,-270,-6½ -112
Charlotte,105,+330,+9½ -112
Miami,102,-390,-9 -110
Phoenix,118,+124,+3 -112
Memphis,120,-130,-2½ -109
Indiana,103,-148,-3 -114
Chicago,121,+152,+4½ -105
Orlando,84,+140,+3½ +100
Houston,97,-152,-3 -112
Denver,140,+320,+9½ -110
Oklahoma City,127,-375,-9 -110
Dallas,133,+220,+7 -115
San Antonio,129,-245,-6½ -110
Portland,120,+525,+12½ -110
Golden State,130,-625,-12 -107
New York,133,-105,PK -105
Sacramento,104,+105,+2 -114
Washington,103,+750,+15½ -112
Detroit,123,-1000,-14½ -112
Brooklyn,104,+700,+15 -110
Cleveland,109,-900,-14½ -110
Milwaukee,114,+102,+1½ -105
Indiana,115,-110,-1 -107
L.A. Clippers,120,-295,-7½ -110
New Orleans,127,+260,+8 -110
Oklahoma City,118,+128,+3½ -110
Boston,112,-148,-2½ -118
Charlotte,110,+250,+8 -112
Atlanta,123,-295,-7½ -110
Philadelphia,105,+126,+3 -112
Toronto,118,-135,-2½ -110
Dallas,116,+205,+7 -114
San Antonio,126,-220,-5½ -115
Phoenix,104,+164,+5 -110
Houston,111,-175,-4½ -109
L.A. Clippers,119,+115,+2½ -112
Miami,104,-126,-2 -108
Utah,115,+400,+10½ -108
Memphis,122,-480,-10½ -105
Minnesota,115,+115,+2 +100
Denver,95,-124,-1½ -110
New York,114,-167,-3½ -115
Portland,113,+162,+4½ -114
Washington,129,+600,+13½ -110
Detroit,125,-715,-13 -110
L.A. Lakers,106,+194,+6 -108
Milwaukee,126,-225,-5½ -118
Brooklyn,110,+105,+1½ -105
Chicago,116,-120,-1½ -110
Orlando,113,-125,-1½ -112
New Orleans,93,+114,+2½ -112
Sacramento,104,+250,+8 -108
Golden State,130,-278,-7½ -110
Indiana,112,-770,-13 -110
Philadelphia,100,+700,+13½ -110
Boston,103,-286,-7½ -112
Miami,91,+260,+8½ -115
L.A. Clippers,121,-190,-4½ -118
Atlanta,98,+170,+5 -105
Charlotte,145,+120,+3 -115
San Antonio,134,-135,-2½ -105
Dallas,96,+500,+12 -105
Houston,133,-560,-11½ -107
Cleveland,133,-125,-2½ -105
Memphis,124,+118,+2½ -110
Orlando,111,+460,+11 -109
Minnesota,118,-510,-10½ -115
Toronto,126,+115,+2½ -110
Utah,118,-120,-1½ -108
L.A. Lakers,126,+800,+15½ -110
Denver,131,-1000,-14½ -115
Sacramento,106,+125,+3½ -115
Phoenix,122,-130,-1½ -108
Boston,115,-530,-11 -108
Brooklyn,113,+460,+12 -112
Oklahoma City,113,-167,-4 -112
Detroit,107,+155,+4½ -110
Chicago,114,+300,+8½ -107
Houston,117,-335,-8½ -105
Indiana,119,+140,+4 -109
Milwaukee,126,-156,-3½ -110
Miami,91,+192,+6 -109
Memphis,125,-198,-5 -110
New York,94,+228,+7 -109
Golden State,97,-250,-6½ -110
New Orleans,115,-105,PK -110
San Antonio,119,+100,+1½ -112
Washington,126,+650,+13 -113
Denver,123,-650,-12 -112
Philadelphia,130,+220,+7 -113
Dallas,125,-260,-6½ -108
Orlando,108,+400,+10½ -112
Cleveland,103,-475,-10 -105
Phoenix,96,+125,+3 -108
L.A. Lakers,107,-135,-2½ -115
Atlanta,114,-235,-6 -115
Brooklyn,122,+198,+6½ -110
Toronto,102,+250,+7½ -105
Portland,105,-280,-7 -114
Utah,102,+650,+13½ -110
Minnesota,128,-835,-12½ -115
Charlotte,88,+600,+13½ -105
L.A. Clippers,123,-800,-13½ -110
Oklahoma City,121,-215,-5½ -110
Milwaukee,105,+192,+6 -109
Miami,95,+240,+7½ -113
New York,116,-270,-6½ -120
Indiana,132,+460,+11 -108
Minnesota,130,-530,-10½ -110
Philadelphia,137,+950,+17 -110
Houston,144,-1430,-16½ -112
Detroit,127,-245,-6 -115
New Orleans,81,+210,+7 -108
Chicago,111,-180,-4½ -110
Utah,97,+160,+5 -109
Memphis,122,+135,+3½ -118
Sacramento,132,-137,-2½ -114
Denver,114,+575,+13½ -113
Golden State,105,-650,-11½ -110
Toronto,89,+340,+9 -110
Phoenix,129,-360,-8½ -110
Washington,97,+200,+7 -114
Portland,112,-230,-6 -108
San Antonio,109,+335,+9 -105
L.A. Lakers,125,-385,-8½ -115
Atlanta,134,-315,-8 -108
Charlotte,102,+270,+8½ -115
Brooklyn,96,+610,+13½ -105
Boston,104,-715,-13 -109
Milwaukee,93,-121,-1½ -110
Golden State,104,+110,+2 -105
Cleveland,119,-132,-2½ -109
L.A. Clippers,132,+120,+2½ -106
Houston,116,-125,-2 -110
Orlando,108,+120,+2½ -113
Dallas,131,+400,+10½ -105
Indiana,135,-455,-10 -113
Detroit,116,-180,-4½ -110
Miami,113,+162,+5 -109
