team,score,best_ml_odds,best_spread_odds
New York,109,+210,+6 -108
Boston,132,-240,-5½ -115
Minnesota,103,-105,+1 -114
L.A. Lakers,110,-102,+1½ -130
Indiana,115,-215,-5 -108
Detroit,109,+192,+6 -110
Brooklyn,116,+250,+7 -105
Atlanta,120,-275,-6½ -112
Orlando,116,+116,+2 -106
Miami,97,-130,-1½ -115
Milwaukee,124,-175,-4 -107
Philadelphia,109,+170,+4½ -110
Cleveland,136,-240,-6 -110
Toronto,106,+210,+6½ -105
Charlotte,110,+278,+8½ -110
Houston,105,-315,-8 -110
Chicago,111,+175,+5 -105
New Orleans,123,-195,-4½ -115
Memphis,126,-134,-2 -110
Utah,124,+120,+2½ -110
Phoenix,116,-200,-5 -110
L.A. Clippers,113,+184,+5½ -109
Golden State,139,-265,-7 -110
Portland,104,+260,+7½ -105
Boston,122,-950,-13½ -115
Washington,102,+700,+14½ -113
San Antonio,109,+310,+9 -108
Dallas,120,-345,-8½ -110
Oklahoma City,102,+115,+2½ -115
Denver,87,-126,-2 -108
Minnesota,117,+100,+1½ -110
Sacramento,115,-104,+1 -110
Philadelphia,107,-205,-4½ -114
Toronto,115,+184,+5½ -108
Brooklyn,101,+470,+12 -110
Orlando,116,-560,-11 -113
Indiana,98,+170,+4½ -105
New York,123,-190,-4½ -108
Detroit,101,+425,+11 -105
Cleveland,113,-500,-10½ -109
Charlotte,120,+190,+6 -110
Atlanta,125,-220,-5½ -110
Memphis,108,+146,+4 -110
Houston,128,-165,-3½ -110
Chicago,133,+360,+9½ -110
Milwaukee,122,-395,-9 -115
Golden State,127,-250,-6½ -110
Utah,86,+222,+7 -112
Phoenix,116,+107,+2 -114
L.A. Lakers,123,-120,-1½ -110
New Orleans,105,-250,-6 -114
Portland,103,+215,+7 -110
L.A. Clippers,109,+265,+8 -113
Denver,104,-315,-7½ -110
Cleveland,135,-435,-9½ -109
Washington,116,+350,+9½ -108
Boston,124,-835,-12½ -105
Detroit,118,+610,+13 -113
Miami,114,-220,-5½ -112
Charlotte,106,+200,+6 -110
Orlando,111,+100,+1½ -120
Memphis,124,-110,-1 -105
Toronto,101,+750,+15 -110
Minnesota,112,-1050,-14½ -115
Oklahoma City,114,-400,-9½ -110
Chicago,95,+370,+10 -112
Houston,106,-115,-1½ -105
San Antonio,109,+108,+2 -110
Dallas,102,-160,-3½ -110
Phoenix,114,+150,+4½ -110
Sacramento,127,+100,+1 -108
L.A. Lakers,131,+100,+1½ -115
Philadelphia,118,+290,+8½ -110
Indiana,114,-335,-8½ -105
New Orleans,103,-240,-6 -110
Portland,125,+210,+6½ -110
Milwaukee,102,-350,-8½ -107
Brooklyn,115,+300,+8½ -105
Atlanta,104,+400,+11 -110
Oklahoma City,128,-490,-10½ -105
L.A. Clippers,112,+325,+9 -110
Golden State,104,-375,-8½ -115
Indiana,115,+190,+6 -109
Orlando,119,-195,-5½ -105
Washington,121,+260,+8 -115
Atlanta,119,-295,-7½ -109
Detroit,98,+290,+8½ -110
Miami,106,-340,-8½ -105
Denver,127,-335,-8 -110
Toronto,125,+295,+8½ -105
Milwaukee,108,+328,+9½ -115
Boston,119,-375,-9 -108
Cleveland,110,+130,+3 -105
New York,104,-137,-2½ -110
Houston,106,-136,-2½ -109
San Antonio,101,+126,+3 -105
Chicago,126,+184,+5½ -110
Memphis,123,-205,-5 -110
Utah,102,+530,+12 -110
Dallas,110,-560,-11½ -110
L.A. Lakers,105,+162,+4½ -105
Phoenix,109,-180,-4½ -105
Portland,98,+570,+13 -110
Sacramento,111,-750,-12½ -109
Denver,144,-210,-5 -112
Brooklyn,139,+188,+5½ -110
Dallas,120,+160,+4½ -108
Minnesota,114,-174,-4 -105
Sacramento,113,-240,-6½ -105
Utah,96,+210,+6½ -108
New Orleans,106,-130,-1½ -115
Golden State,124,+114,+2 -110
Atlanta,120,-195,-4½ -114
Washington,133,+185,+5½ -110
L.A. Lakers,110,+152,+4½ -115
Cleveland,134,-170,-4 -110
Boston,132,-240,-6½ -107
Indiana,135,+225,+7 -110
Toronto,133,+220,+6½ -110
Charlotte,138,-240,-6 -108
Detroit,105,+155,+4 -107
Philadelphia,95,-174,-3½ -112
New York,116,-115,-1 -112
Miami,107,+108,+2 -110
Orlando,99,-220,-5½ -110
Chicago,102,+196,+6 -105
Brooklyn,119,+500,+12 -110
Memphis,106,-620,-11½ -115
San Antonio,93,+590,+12½ -110
Oklahoma City,105,-715,-12½ -108
New Orleans,89,+140,+3½ -105
Golden State,104,-160,-3½ -105
Portland,106,+275,+8½ -109
L.A. Clippers,105,-320,-8 -110
Milwaukee,99,-240,-6 -114
Memphis,122,+205,+6½ -110
Houston,108,+222,+7 -105
Dallas,102,-245,-6½ -109
San Antonio,106,-139,-2 -115
Utah,88,+122,+2½ -108
Phoenix,125,-178,-4 -115
L.A. Clippers,119,+163,+5 -114
