team,score,best_ml_odds,best_spread_odds
Boston,124,-500,-10½ -110
Charlotte,109,+430,+11 -110
New York,128,-250,-6 -105
Detroit,98,+225,+7 -114
Orlando,109,+245,+7½ -110
Cleveland,120,-295,-7 -110
Sacramento,123,-230,-5½ -115
Atlanta,115,+200,+6½ -115
L.A. Lakers,131,-375,-8½ -115
Toronto,125,+328,+9½ -110
Chicago,112,+105,+1½ -105
Brooklyn,120,-110,-1 -105
Indiana,118,-177,-4 -110
New Orleans,125,+155,+4½ -110
Denver,116,+145,+4 -105
Minnesota,119,-155,-3½ -108
Oklahoma City,137,-520,-10½ -110
Portland,114,+475,+11½ -108
Boston,113,-500,-10 -112
Charlotte,103,+420,+11 -112
Sacramento,128,-400,-9½ -108
Toronto,131,+325,+9½ -105
Memphis,124,-105,+1½ -120
Philadelphia,107,-105,+1 -115
Minnesota,103,-165,-3½ -112
San Antonio,113,+150,+4 -110
Golden State,127,+175,+5 -105
Houston,121,-186,-4½ -115
Cleveland,114,+110,+2½ -115
Milwaukee,113,-125,-2 -105
Miami,118,-455,-9½ -110
Washington,98,+375,+10½ -112
Portland,97,+650,+13 -110
Phoenix,103,-750,-12½ -110
Utah,103,+480,+11 -105
Denver,129,-575,-10½ -115
Oklahoma City,105,-225,-5½ -108
L.A. Clippers,92,+190,+6 -114
Detroit,106,+132,+3½ -110
Brooklyn,92,-148,-3 -108
Atlanta,126,-115,-1 -110
New Orleans,111,+102,+1½ -110
Orlando,85,+230,+7½ -115
Dallas,108,-250,-6½ -110
Milwaukee,114,+300,+8½ -109
Cleveland,116,-335,-8 -115
Golden State,125,-500,-10½ -109
Washington,112,+460,+11½ -115
L.A. Lakers,103,-275,-6½ -112
Detroit,115,+240,+7 -114
Boston,123,-480,-9½ -115
Atlanta,93,+430,+10 -105
Memphis,104,-170,-4 -105
Brooklyn,106,+155,+4½ -110
Sacramento,111,+106,+1½ -110
Miami,110,-112,-1 -108
Utah,135,+260,+8 -110
Chicago,126,-300,-7½ -108
New York,97,-130,-1½ -115
Houston,109,+110,+2 -110
Charlotte,93,+450,+11½ -110
Minnesota,114,-455,-10½ -105
Orlando,86,+600,+12½ -105
Oklahoma City,102,-670,-12 -114
Portland,118,+100,+1½ -110
New Orleans,100,-115,-1 -106
Indiana,134,+166,+4½ -105
Dallas,127,-185,-4½ -108
Toronto,119,+460,+11 -110
Denver,121,-500,-10½ -108
Philadelphia,116,+270,+7½ -110
Phoenix,118,-278,-7 -109
San Antonio,104,+150,+4½ -113
L.A. Clippers,113,-170,-3½ -110
Orlando,111,+185,+5½ -110
Indiana,118,-210,-5½ -105
Detroit,107,-109,-1 -106
Charlotte,108,+105,+1½ -110
Golden State,118,+222,+7 -105
Boston,112,-240,-6½ -108
New York,116,-275,-6½ -115
Atlanta,121,+240,+7½ -115
San Antonio,100,+230,+7 -110
Houston,127,-260,-6½ -110
Cleveland,131,-250,-6½ -109
New Orleans,122,+228,+6½ -105
L.A. Lakers,114,+162,+4½ -112
Memphis,131,-170,-4 -108
Chicago,99,+400,+10½ -112
Dallas,119,-500,-10 -110
Oklahoma City,122,-260,-7 -108
Denver,124,+230,+7½ -110
Miami,112,+170,+5½ -112
Phoenix,115,-178,-5 -110
Toronto,107,+500,+11½ -105
Sacramento,122,-625,-11½ -110
Philadelphia,98,+110,+1½ -105
L.A. Clippers,110,-120,-1½ -110
Utah,100,+380,+10 -110
Milwaukee,123,-450,-9½ -115
Minnesota,135,-400,-9½ -105
Chicago,119,+345,+9½ -110
Portland,105,+155,+4½ -113
San Antonio,118,-170,-3½ -115
Atlanta,121,+118,+2½ -110
Detroit,122,-127,-2 -109
New Orleans,88,+290,+8½ -105
Orlando,115,-345,-8½ -108
Indiana,83,-250,-6 -110
Charlotte,103,+228,+7 -112
Golden State,117,+140,+4 -110
Cleveland,136,-158,-3½ -105
Milwaukee,94,+215,+6½ -105
New York,116,-250,-6½ -106
Phoenix,114,+125,+3½ -115
Dallas,113,-142,-2½ -105
Brooklyn,104,+610,+13½ -110
Boston,108,-770,-12½ -113
Houston,107,+280,+8 -108
Oklahoma City,126,-315,-7½ -110
Washington,104,+260,+8 -105
Memphis,128,-286,-7½ -108
Miami,122,+130,+3 -108
Denver,135,-140,-2½ -115
Portland,102,+550,+12½ -115
Minnesota,127,-650,-11½ -105
L.A. Clippers,107,+215,+6½ -110
Sacramento,98,-250,-6 -105
Philadelphia,106,+260,+7½ -110
L.A. Lakers,116,-295,-7½ -108
Utah,111,+235,+7 -110
San Antonio,110,-250,-6 -114
Brooklyn,100,+600,+13½ -115
Cleveland,105,-750,-12 -113
Chicago,125,+128,+3 -110
Atlanta,113,-140,-2½ -110
Toronto,103,+205,+6½ -115
L.A. Clippers,105,-240,-6 -110
Houston,101,-165,-3½ -114
Detroit,99,+150,+4½ -115
Boston,113,-190,-4½ -114
Milwaukee,107,+170,+5 -105
New York,121,-155,-3 -110
Indiana,132,+138,+3½ -109
Washington,94,+500,+11½ +100
Orlando,121,-530,-11 -108
Miami,95,+240,+8 -114
Minnesota,94,-278,-7 -113
Golden State,127,+222,+6½ -105
Oklahoma City,116,-240,-6½ -108
Charlotte,105,+165,+5 -110
Philadelphia,107,-184,-4½ -109
Dallas,120,+116,+2½ -105
Denver,122,-125,-2 -110
Sacramento,127,-115,-1 -108
Phoenix,118,+100,+1½ -115
Memphis,134,-106,+1 -114
Portland,89,+100,+1½ -120
Toronto,103,+425,+10½ -108
L.A. Lakers,123,-480,-10 -112
L.A. Clippers,128,+222,+6½ -108
Oklahoma City,134,-240,-6 -112
Brooklyn,107,-116,-1½ -106
New Orleans,105,+115,+1½ +100
Washington,92,+520,+12½ -115
Houston,107,-670,-11½ -114
Cleveland,119,-335,-8 -110
Chicago,113,+290,+8½ -112
Sacramento,96,-139,-2½ -110
San Antonio,116,+124,+2½ -105
Atlanta,117,+1050,+16½ -109
Boston,116,-910,-16 -108
Miami,121,-115,-1 -110
Detroit,123,+104,+1½ -108
Charlotte,89,+300,+9½ -115
Orlando,114,-335,-8 -109
New York,111,-159,-3½ -107
Philadelphia,99,+140,+3½ -110
Toronto,85,+320,+9 -110
Milwaukee,99,-385,-8½ -110
Phoenix,120,-198,-5 -115
Utah,112,+180,+5½ -110
Minnesota,108,-385,-9 -109
Portland,122,+335,+9½ -110
Dallas,117,+123,+2½ -107
Golden State,120,-130,-2 -115
Indiana,90,-104,
Orlando,94,-105,
Boston,139,-435,
Brooklyn,114,+400,
Chicago,124,+310,
New York,123,-315,
New Orleans,88,+750,
Oklahoma City,106,-1000,
Cleveland,114,-560,
Philadelphia,106,+450,
Detroit,120,+235,
Milwaukee,127,-265,
Washington,130,+350,
San Antonio,139,-420,
L.A. Clippers,103,+178,
Houston,111,-182,
Memphis,123,+260,
L.A. Lakers,128,-286,
Minnesota,98,-435,
Portland,106,+400,
Phoenix,104,+275,
Sacramento,127,-300,
Phoenix,117,+245,+7½ -110
Minnesota,120,-290,-7½ -105
Miami,110,+143,+3½ -108
Indiana,119,-155,-3½ -108
Denver,90,+194,+6½ -115
Memphis,105,-225,-6 -110
Atlanta,110,-174,-4 -110
Portland,114,+152,+4½ -105
Detroit,124,-195,-5 -105
Washington,104,+180,+5½ -108
Charlotte,114,+375,+10 -108
Cleveland,128,-440,-9½ -115
Dallas,121,+250,+7½ -110
Oklahoma City,119,-250,-7 -113
Brooklyn,104,+380,+10½ -115
New York,114,-455,-9½ -112
Houston,143,-180,-4½ -108
Chicago,107,+164,+5 -112
Utah,105,+370,+9½ -105
L.A. Clippers,116,-450,-9½ -110
Chicago,122,+150,-
Detroit,112,-168,-
Washington,106,+750,-
New York,134,-1100,-
Philadelphia,89,+128,-
Miami,106,-135,-
Indiana,119,-152,-
Toronto,130,+136,-
Houston,100,+140,-
Milwaukee,101,-157,-
Orlando,109,-180,-
Phoenix,99,+164,-
Atlanta,109,+163,-
Sacramento,108,-180,-
Golden State,99,-200,-
L.A. Clippers,102,+176,-
Cleveland,117,+228,+7½ -113
Boston,120,-250,-6½ -115
Charlotte,115,+108,+2 -113
Brooklyn,116,-118,-1½ -105
Denver,122,+215,+6½ -115
Memphis,110,-230,-6 -110
New Orleans,91,+700,+13½ -112
Dallas,132,-770,-13 -108
Oklahoma City,104,-435,-9½ -115
San Antonio,110,+390,+10 -106
Utah,118,+460,+10½ -110
L.A. Lakers,124,-535,-10½ -105
Chicago,106,+310,+9 -112
Milwaukee,122,-345,-8½ -112
New Orleans,100,+900,+14½ -105
Cleveland,128,-950,-14 -112
Portland,99,+590,+13 -110
Oklahoma City,109,-800,-12½ -110
Indiana,113,+215,+6 -108
Houston,130,-230,-5½ -115
Philadelphia,111,-182,-4½ -108
Memphis,117,+180,+5 -112
New York,138,-180,-4½ -105
Phoenix,122,+175,+5 -108
Atlanta,97,+260,+7½ -109
Golden State,120,-300,-7 -110
Orlando,93,-148,-3 -110
L.A. Clippers,104,+140,+3½ -108
Detroit,121,-135,-2 -110
Charlotte,123,+130,+2½ -105
Minnesota,105,-265,-7 -108
Toronto,110,+240,+7½ -110
Utah,118,+130,+3 -105
San Antonio,126,-148,-2½ -115
Orlando,119,+205,+5½ -110
L.A. Lakers,118,-220,-5 -110
Brooklyn,98,+136,+3 -110
Philadelphia,113,-145,-2½ -110
Boston,108,-1250,-15½ -108
Washington,96,+900,+16 -110
Golden State,112,-455,-10 -110
New Orleans,108,+420,+10½ -105
Indiana,117,+185,+6 -110
Milwaukee,129,-205,-5 -114
Atlanta,122,-130,-2 -110
Chicago,136,+118,+2½ -110
Portland,88,+490,+11½ -108
Houston,116,-625,-11½ -110
Dallas,123,+170,+5 -105
Denver,120,-190,-4½ -110
Sacramento,88,-159,-3½ -109
L.A. Clippers,104,+152,+4½ -110
New York,106,-292,-8 -105
Utah,121,+300,+9 -114
Detroit,100,+340,+9½ -113
Orlando,111,-380,-8½ -115
Charlotte,119,+278,+8 -110
Milwaukee,125,-305,-7½ -113
Memphis,142,-176,-4 -105
Chicago,131,+155,+4½ -108
Portland,104,+525,+12½ -115
Houston,98,-590,-12 -108
Golden State,94,-159,-3½ -110
San Antonio,104,+140,+3½ -105
Denver,127,+150,+4 -110
L.A. Lakers,102,-165,-3½ -112
Minnesota,105,+280,
Boston,107,-315,
Washington,103,+600,
Indiana,115,-625,
L.A. Clippers,125,-115,
Philadelphia,99,+108,
Dallas,118,+126,
Miami,123,-135,
Toronto,108,+500,
Cleveland,122,-670,
Brooklyn,108,+400,
Sacramento,103,-420,
New York,99,-835,-12½ -110
Charlotte,98,+650,+13 -105
Cleveland,101,-215,-5½ -110
Atlanta,117,+192,+6 -110
New Orleans,109,+500,+12 -109
Memphis,120,-620,-11½ -110
L.A. Clippers,92,+228,+7 -115
Minnesota,93,-250,-6½ -108
Orlando,123,-278,-7½ -115
Brooklyn,100,+260,+8 -105
Detroit,130,+165,+4½ -105
Indiana,106,-175,-4½ -105
Toronto,111,+275,+8½ -110
Miami,121,-315,-7½ -113
Boston,138,-590,-11½ -110
Chicago,129,+600,+13 -110
Oklahoma City,101,-135,-2½ -110
L.A. Lakers,93,+130,+3 -108
Sacramento,106,-270,-7 -110
Portland,115,+235,+7½ -114
