team,score,best_ml_odds,best_spread_odds
Orlando,100,-265,-6½ -110
Brooklyn,92,+250,+7 -105
Indiana,121,+210,+6½ -108
Memphis,136,-210,-6 +100
Boston,111,+105,+2 -115
Cleveland,115,-120,-1½ -110
Miami,116,-182,-4 -114
Toronto,119,+166,+5 -105
New Orleans,85,+530,+12½ -112
New York,118,-700,-12 -108
Oklahoma City,116,-112,-1 -112
Houston,119,+100,+1½ -110
L.A. Lakers,105,-205,-5 -109
Utah,104,+190,+5½ -110
Dallas,137,-200,-5 -108
Portland,131,+188,+5½ -110
San Antonio,127,+200,+6½ -110
Sacramento,125,-235,-6 -115
Denver,122,-150,-3 -110
L.A. Clippers,126,+136,+3½ -110
Miami,89,+350,+9½ -108
Boston,108,-400,-9 -110
New Orleans,112,+328,+9½ -110
Atlanta,124,-390,-9 -105
L.A. Lakers,80,+240,+7½ -110
Minnesota,109,-265,-6½ -112
Brooklyn,102,+250,+7½ -110
Chicago,128,-278,-7½ -105
Orlando,106,-230,-5½ -113
Philadelphia,102,+210,+6 -110
Detroit,120,+650,+12½ -108
Boston,130,-800,-12 -110
L.A. Lakers,93,+145,+3½ -107
Miami,134,-165,-3½ -105
Indiana,90,-141,-3 -106
Brooklyn,99,+143,+3½ -105
Atlanta,119,+162,+4½ -110
Milwaukee,104,-180,-4 -110
Minnesota,108,-186,-4 -110
L.A. Clippers,80,+170,+4½ -105
Dallas,137,-910,-13½ -108
Washington,101,+700,+14 -110
Denver,114,+150,+4 -107
Cleveland,126,-166,-3½ -110
Charlotte,101,+810,+15 -110
New York,125,-1100,-14½ -108
Oklahoma City,129,-480,-9½ -115
Toronto,92,+460,+10½ -110
Phoenix,124,-120,-1 -114
New Orleans,126,+107,+2 -113
Chicago,139,+116,+2½ -110
San Antonio,124,-125,-1½ -115
Sacramento,110,+138,+3½ -108
Memphis,115,-140,-2½ -115
Houston,93,-185,-4½ -108
Golden State,99,+170,+4½ -105
Orlando,94,-135,-2½ -105
