team,score,best_ml_odds,best_spread_odds
Philadelphia,102,+125,+3 -112
Milwaukee,105,+275,+8½ -115
Boston,111,-315,-8 -105
L.A. Lakers,132,+140,+4 -105
Atlanta,134,-155,-3½ -113
Sacramento,140,-250,-6½ -110
San Antonio,113,+235,+7 -110
Indiana,132,-152,-3 -110
Chicago,123,+138,+3½ -105
Minnesota,107,-109,-1 -105
Golden State,90,+105,+1½ -105
Utah,141,+158,+4½ -110
Portland,99,-167,-3½ -112
Cleveland,116,-850,-13 -110
Charlotte,102,+650,+14½ -115
Oklahoma City,119,-315,-8 -110
New Orleans,109,+270,+8½ -115
Denver,113,-670,-11½ -110
Washington,122,+550,+12½ -115
Dallas,125,-335,-7½ -115
Toronto,118,+285,+8 -110
Detroit,120,+275,+8½ -113
New York,111,-305,-7½ -112
Memphis,127,+240,+7½ -112
Boston,121,-270,-7 -110
Phoenix,111,+180,+5½ -105
Miami,121,-198,-5½ -110
Philadelphia,108,-143,-2½ -115
Chicago,100,+135,+3 -110
Milwaukee,118,-240,-6 -110
Brooklyn,113,+205,+6½ -115
Charlotte,113,+650,+12 +100
Indiana,109,-625,-11½ -109
Denver,141,+104,+1½ -109
Atlanta,111,-105,+1½ -120
Cleveland,113,-135,-2½ -105
Miami,122,+123,+3 -112
Phoenix,110,+115,+2½ -115
Orlando,115,-125,-1½ -110
Memphis,140,-410,-9½ -109
Washington,112,+350,+10 -110
New Orleans,116,+235,+7½ -115
San Antonio,121,-265,-7 -110
Minnesota,106,+100,+1½ -108
Golden State,114,-110,-1 -106
Utah,97,+460,+11½ -112
Sacramento,141,-575,-10½ -115
Houston,117,-150,-3 -105
L.A. Clippers,106,+130,+3½ -115
Portland,98,+250,+7½ -114
L.A. Lakers,107,-275,-6½ -110
New York,113,-295,-7½ -108
Toronto,108,+260,+8 -115
Orlando,109,+290,+8 -110
Milwaukee,114,-315,-7½ -113
Dallas,104,+162,+4½ -102
Oklahoma City,118,-180,-4 -115
Atlanta,108,+280,+8 -110
New York,100,-315,-7½ -110
Golden State,90,+136,+3½ -114
Houston,91,-148,-2½ -115
Detroit,99,+500,+11½ -108
Boston,123,-590,-11 -110
Toronto,104,+500,+11½ -105
Miami,114,-485,-10 -112
Sacramento,111,-250,-6½ -105
New Orleans,109,+220,+7 -109
Washington,105,+1150,+17½ -110
Cleveland,115,-1800,-16½ -112
Indiana,121,+215,+6½ -105
Philadelphia,107,-245,-6½ -108
L.A. Lakers,87,+300,+9 -112
Minnesota,97,-350,-8½ -110
Brooklyn,119,+380,+10 -109
Memphis,135,-455,-9½ -115
Charlotte,95,+195,+6½ -112
Chicago,109,-220,-5½ -110
L.A. Clippers,98,+260,+7½ -115
Denver,120,-265,-6½ -113
Phoenix,134,-265,-6½ -113
Utah,126,+235,+7 -110
San Antonio,118,-158,-3½ -108
Portland,116,+145,+3½ -105
Atlanta,102,+158,+3½ -105
Milwaukee,110,-165,-3½ -110
Houston,96,+205,+6 -114
Oklahoma City,111,-215,-5 -110
Philadelphia,121,-125,-2 -110
Charlotte,108,+120,+2½ -109
Miami,124,-186,-4½ -109
Detroit,125,+164,+5 -112
Chicago,122,-113,-1 -108
Toronto,121,+100,+1½ -115
Cleveland,130,-480,-10 -108
Brooklyn,101,+430,+10½ -105
Denver,130,+102,+1½ -110
Sacramento,129,-110,-1 -105
Utah,107,+260,+7½ -106
L.A. Clippers,144,-305,-7½ -109
Milwaukee,97,+185,+5½ -110
Oklahoma City,81,-195,-4½ -109
Charlotte,98,+530,-
Philadelphia,108,-625,-
Milwaukee,101,+310,-
Cleveland,124,-355,-
Oklahoma City,104,+100,-
Miami,97,+100,-
Chicago,115,-174,-3½ -115
Charlotte,108,+162,+5 -114
New York,126,-750,-12½ -110
Washington,106,+600,+13½ -110
L.A. Clippers,116,-180,-4½ -110
New Orleans,113,+162,+4½ -105
Denver,132,-286,-7½ -105
Utah,121,+250,+7½ -110
Philadelphia,125,-275,-6½ -110
Portland,103,+240,+7½ -115
Dallas,100,+285,+8½ -109
Sacramento,110,-330,-8 -110
Cleveland,113,-160,-3 -115
Golden State,95,+140,+4 -108
